ID	Bin 	Shoot	Treatment	Date	Count	Dead	GrowthWarm1	CountWarm1	DeadWarm1	Shoot	Side	Rhiz	Root	Above	Below	AB	Total	FixedGrowth	Starch_Per	Starch_mg_g
56	12	1	H	4/10/17	4	0	12.30	2	0	0.7137	0.4383	0.5125	0.9314	1.152	1.4439	0.797839186	2.5959	6.15	6.003982654	60.03982654
57	12	2	H	4/10/17	5	0	7.00	2	0	0.3913	0.5742	0.3393	0.863	0.9655	1.2023	0.803044165	2.1678	3.5	5.218066343	52.18066343
58	12	3	H	4/10/17	5	0	9.23	2	0	0.4185	0.2138	0.2902	0.1711	0.6323	0.4613	1.370691524	1.0936	4.616666667	7.745699021	77.45699021
59	12	4	H	4/10/17	3	0	12.43	1	0	1.0083	0.6328	0.5422	1.5353	1.6411	2.0775	0.789939832	3.7186	6.216666667	5.821456503	58.21456503
61	13	1	C	4/10/17	4	0	NA	2	0	0.4045	0.65	0.5512	0.7468	1.0545	1.298	0.812403698	2.3525	#VALUE!	6.011288942	60.11288942
62	13	2	C	4/10/17	6	0	7.57	2	0	0.4732	1.1409	1.283	1.1122	1.6141	2.3952	0.673889446	4.0093	3.783333333	6.154928023	61.54928023
63	13	3	C	4/10/17	8	0	7.27	3	0	0.6314	2.0371	1.1096	0.9671	2.6685	2.0767	1.284971349	4.7452	3.633333333	7.393208668	73.93208668
64	13	4	C	4/10/17	8	0	4.33	1	0	1.0758	1.2443	0.8154	0.727	2.3201	1.5424	1.504214212	3.8625	2.166666667	7.079491509	70.79491509
66	14	1	H	4/10/17	10	0	11.07	1	0	0.6724	0.9366	0.7367	1.3368	1.609	2.0735	0.775982638	3.6825	5.533333333	5.975910427	59.75910427
67	14	2	H	4/10/17	7	0	10.03	1	0	1.0702	1.2662	0.9146	0.8797	2.3364	1.7943	1.302123391	4.1307	5.016666667	6.157417048	61.57417048
69	14	4	H	4/10/17	5	0	7.33	2	0	0.1301	0.5485	0.2835	0.5152	0.6786	0.7987	0.84963065	1.4773	3.666666667	4.136082882	41.36082882
70	14	5	H	4/10/17	14	0	10.60	3	0	NA	2.3585	1.1492	1.5975	NA	2.7467	NA	NA	5.3	5.967057198	59.67057198
77	16	2	H	4/17/17	17	0	8.53	3	0	0.161	1.8975	0.8125	1.149	2.0585	1.9615	1.04945195	4.02	4.266666667	6.513612028	65.13612028
78	16	3	H	4/17/17	3	0	7.17	2	0	0.1015	0.3173	0.3548	0.4246	0.4188	0.7794	0.537336413	1.1982	3.583333333	4.268100025	42.68100025
79	16	4	H	4/17/17	5	0	12.77	1	0	0.3213	1.5093	1.0028	0.5919	1.8306	1.5947	1.14792751	3.4253	6.383333333	6.144973266	61.44973266
80	16	5	H	4/17/17	8	0	8.07	1	0	0.2568	1.5071	0.691	1.1007	1.7639	1.7917	0.98448401	3.5556	4.033333333	5.571360103	55.71360103
81	17	1	C	4/17/17	10	0	5.24	2	0	0.4298	0.9178	0.7456	1.0405	1.3476	1.7861	0.75449303	3.1337	5.24	5.272593519	52.72593519
83	17	3	C	4/17/17	5	0	3.97	1	0	0.5699	0.1793	0.5723	0.4495	0.7492	1.0218	0.733215894	1.771	3.97	5.979850362	59.79850362
84	17	4	C	4/17/17	5	0	3.50	2	1	0.5519	0.5441	0.4953	0.5229	1.096	1.0182	1.07640935	2.1142	3.50	6.042582195	60.42582195
85	17	5	C	4/17/17	1	0	3.53	1	0	0.6482	0.0453	0.3082	0.6605	0.6935	0.9687	0.715907918	1.6622	3.53	3.828387433	38.28387433
86	18	1	H	4/17/17	18	0	7.11	2	0	0.3994	2.0232	1.6492	1.5759	2.4226	3.2251	0.751170506	5.6477	7.11	7.243201917	72.43201917
87	18	2	H	4/17/17	18	0	4.02	2	0	0.3526	1.5698	1.0848	1.2199	1.9224	2.3047	0.834121578	4.2271	4.02	NA	NA
88	18	3	H	4/17/17	8	0	5.06	2	0	0.5392	1.2037	0.848	0.9575	1.7429	1.8055	0.965328164	3.5484	5.06	8.811801778	88.11801778
89	18	4	H	4/17/17	24	0	5.58	3	0	0.299	2.2151	1.7098	1.1082	2.5141	2.818	0.892157559	5.3321	5.58	6.929878221	69.29878221
91	19	1	C	4/17/17	4	0	5.15	2	0	0.3565	0.2334	0.3963	0.4513	0.5899	0.8476	0.695965078	1.4375	5.15	4.207228147	42.07228147
93	19	3	C	4/17/17	13	0	3.15	2	0	0.6267	1.7968	1.188	0.819	2.4235	2.007	1.207523667	4.4305	3.15	7.792966138	77.92966138
94	19	4	C	4/17/17	8	0	2.95	2	0	0.5771	1.5802	0.8446	1.0109	2.1573	1.8555	1.162651576	4.0128	2.95	5.69073187	56.9073187
95	19	5	C	4/17/17	10	0	2.70	2	0	0.8301	2.2559	1.0886	1.3268	3.086	2.4154	1.277635174	5.5014	2.70	11.838681	118.38681
