TimePoint	Shoot_ID	PairID	SM2Treatment	SM1Treatment	TreatmentID	SM2_Bin	SM1_Bin	Shoot_Count	Growth1	Growth2	Growth3	Growth4	Total_Growth	GrowthPeriod	Growth_Day	Length_Begin	Width_Begin	Length_End	Width_End	Count_PreWarm	Dead_Recovery	CONTRA
During	3	73	C	H	CH	19	20	3	11	27	9	0.5	47.5	12	3.958333333							0
During	3	73	H	H	HH	20	20	1	13	13	0	0	26	12	2.166666667							0
During	5	74	C	H	CH	19	20	3	16.5	16.5	12.5	0	45.5	12	3.791666667							1
During	5	74	H	H	HH	20	20	3	40	35	3.5	0.5	79	12	6.583333333							0
Post	2	1	C	C	CC	1	1	6	5.3	5.8	0	0	11.1	4	2.775			61.3	0.8		0	0
Post	2	1	H	C	HC	2	1	2	2.5	0	0	0	2.5	4	0.625			44	0.6		0	0
Post	3	2	C	C	CC	1	1	4	0.2	7.3	7.8	0	15.3	4	3.825			85.3	0.8		0	0
Post	3	2	H	C	HC	2	1	2	0	0	0	0	0	4	0			96.5	0.6		0	1
Post	4	3	C	C	CC	1	1	9	2.4	5.3	0	0	7.7	4	1.925			12.2	0.7		0	0
Post	4	3	H	C	HC	2	1	5	4.2	5.5	0	0	9.7	4	2.425			84	0.7		0	0
Post	5	4	C	C	CC	1	1	4	7	7.5	0	0	14.5	4	3.625			70	0.8		0	0
Post	5	4	H	C	HC	2	1	1	3.3	0	0	0	3.3	4	0.825			61	0.5		0	0
Post	1	5	C	H	CH	1	2	9	6.3	2.8	2.8	0	11.9	4	2.975			78.4	0.6		0	0
Post	1	5	H	H	HH	2	2	5	3.8	0	0	0	3.8	4	0.95			91	0.6		0	0
Post	2	6	C	H	CH	1	2	1	NA	NA	NA	NA	0	4	0			NA	NA		1	1
Post	2	6	H	H	HH	2	2	2	3.7	0	0	0	3.7	4	0.925			82	0.7		0	0
Post	3	7	C	H	CH	1	2	5	10.5	14.4	0	0	24.9	4	6.225			78.5	0.8		0	0
Post	3	7	H	H	HH	2	2	2	0	0	0	0	0	4	0			44	0.4		0	1
Post	4	8	C	H	CH	1	2	7	23	0	0	0	23	4	5.75			85.3	0.8		0	0
Post	4	8	H	H	HH	2	2	4	3.9	0	0	0	3.9	4	0.975			96.5	0.6		0	0
Post	5	9	C	H	CH	1	2	3	7.2	5	4.5	0	16.7	4	4.175			73.4	0.8		0	0
Post	5	9	H	H	HH	2	2	3	3.1	0	0	0	3.1	4	0.775			70.5	0.6		0	0
Post	2	10	C	C	CC	3	3	3	19.8	4.5	0	0	24.3	4	6.075			111.4	0.6		0	0
Post	3	11	C	C	CC	3	3	3	4.4	5.6	5.5	0	15.5	4	3.875			72.3	0.7		0	0
Post	3	11	H	C	HC	4	3	3	3.7	0.5	0	0	4.2	4	1.05			95	0.6		0	0
Post	4	12	H	C	HC	4	3	3	4.5	0	0	0	4.5	4	1.125			94	0.7		0	0
Post	5	13	C	C	CC	3	3	3	5.6	12.1	0	0	17.7	4	4.425			78.7	0.7		0	0
Post	5	13	H	C	HC	4	3	3	4.3	4.3	0	0	8.6	4	2.15			41	0.7		0	0
Post	1	14	C	H	CH	3	4	6	2	21.5	0	0	23.5	4	5.875			63	0.6		0	0
Post	1	14	H	H	HH	4	4	5	4.3	0.5	0	0	4.8	4	1.2			85	0.7		0	0
Post	2	15	H	H	HH	4	4	5	2.2	4	0.5	0	6.7	4	1.675			70	0.7		0	0
Post	3	16	C	H	CH	3	4	1	3.5	5	0	0	8.5	4	2.125			48	0.5		0	0
Post	4	17	C	H	CH	3	4	1	2.6	0	0	0	2.6	4	0.65			45.3	0.4		0	0
Post	4	17	H	H	HH	4	4	3	1	0	0	0	1	4	0.25			105	0.7			0
Post	5	18	C	H	CH	3	4	4	8.5	0	0	0	8.5	4	2.125			57	0.5			0
Post	5	18	H	H	HH	4	4	5	3.6	0	0	0	3.6	4	0.9			83.5	0.6			0
Post	2	19	C	C	CC	5	5	6	27	4.1	0	0	31.1	4	7.775			50.4	0.6			0
Post	2	19	H	C	HC	6	5	3	5.7	4.6	0	0	10.3	4	2.575			83.5	NA			0
Post	3	20	C	C	CC	5	5	3	2	2.3	0	0	4.3	4	1.075			50.7	0.5			0
Post	3	20	H	C	HC	6	5	5	4.7	4.3	0	0	9	4	2.25			63.5	0.6			0
